AX,AY,AZ,CO2,Temp,Hum,Tim,File
0.025,-0.195,0.988,,,,,
0.031,-0.205,0.969,,,,,
0.031,-0.193,0.973,392,31.1,38.1,5802,2
0.021,-0.189,0.941,,,,,
0.01,-0.191,0.973,,,,,
0.025,-0.207,0.984,,,,,
0.033,-0.193,0.969,,,,,
0.031,-0.186,0.963,,,,,
0.012,-0.189,0.947,,,,,
0.018,-0.201,0.984,,,,,
0.027,-0.215,0.975,,,,,
0.033,-0.191,0.957,,,,,
0.021,-0.195,0.947,,,,,
0.014,-0.197,0.973,,,,,
0.023,-0.211,0.979,,,,,
0.031,-0.189,0.971,,,,,
0.033,-0.178,0.959,,,,,
0.012,-0.193,0.959,,,,,
0.021,-0.201,0.988,,,,,
0.031,-0.205,0.969,,,,,
0.033,-0.189,0.977,402,31.3,37.7,5978,2
0.02,-0.189,0.951,,,,,
0.014,-0.199,0.973,,,,,
0.023,-0.205,0.98,,,,,
0.035,-0.195,0.963,,,,,
0.025,-0.191,0.957,,,,,
0.012,-0.197,0.959,,,,,
0.021,-0.199,0.98,,,,,
0.027,-0.203,0.967,,,,,
0.039,-0.18,0.963,,,,,
0.016,-0.189,0.953,,,,,
0.014,-0.193,0.973,,,,,
0.023,-0.209,0.975,,,,,
0.031,-0.189,0.973,,,,,
0.035,-0.184,0.957,,,,,
0.01,-0.193,0.953,,,,,
0.021,-0.195,0.979,,,,,
0.031,-0.203,0.969,,,,,
0.035,-0.195,0.967,402,31.3,37.7,6154,2
0.016,-0.195,0.941,,,,,
0.014,-0.195,0.969,,,,,
0.025,-0.207,0.982,,,,,
0.035,-0.191,0.971,,,,,
0.029,-0.188,0.963,,,,,
0.01,-0.193,0.949,,,,,
0.021,-0.207,0.988,,,,,
0.031,-0.207,0.967,,,,,
0.035,-0.184,0.963,,,,,
0.014,-0.191,0.951,,,,,
0.014,-0.195,0.977,,,,,
0.025,-0.209,0.975,,,,,
0.035,-0.186,0.963,,,,,
0.033,-0.189,0.945,,,,,
0.01,-0.193,0.959,,,,,
0.021,-0.211,0.988,,,,,
0.029,-0.205,0.969,,,,,
0.037,-0.184,0.967,402,31.3,37.7,6330,2
0.016,-0.191,0.945,,,,,
0.012,-0.201,0.982,,,,,
0.027,-0.209,0.971,,,,,
0.035,-0.193,0.965,,,,,
0.025,-0.193,0.957,,,,,
0.01,-0.193,0.959,,,,,
0.023,-0.203,0.99,,,,,
0.031,-0.199,0.963,,,,,
0.035,-0.182,0.961,,,,,
0.014,-0.195,0.957,,,,,
0.016,-0.199,0.973,,,,,
0.023,-0.213,0.971,,,,,
0.035,-0.189,0.963,,,,,
0.031,-0.189,0.955,,,,,
0.01,-0.193,0.959,,,,,
0.021,-0.203,0.979,,,,,
0.033,-0.201,0.973,,,,,
0.033,-0.188,0.971,402,31.3,37.7,6505,2
0.014,-0.189,0.949,,,,,
0.014,-0.197,0.988,,,,,
0.025,-0.203,0.979,,,,,
0.035,-0.191,0.975,,,,,
0.023,-0.191,0.957,,,,,
0.01,-0.195,0.949,,,,,
0.021,-0.209,0.986,,,,,
0.033,-0.203,0.969,,,,,
0.033,-0.182,0.957,,,,,
0.012,-0.193,0.949,,,,,
0.02,-0.191,0.986,,,,,
0.027,-0.207,0.977,,,,,
0.035,-0.189,0.969,,,,,
0.027,-0.191,0.947,,,,,
0.008,-0.191,0.967,,,,,
0.025,-0.211,0.982,,,,,
0.031,-0.195,0.963,,,,,
0.031,-0.188,0.953,402,31.3,37.7,6681,2
0.012,-0.191,0.951,,,,,
0.018,-0.201,0.984,,,,,
0.031,-0.209,0.977,,,,,
0.035,-0.188,0.969,,,,,
0.023,-0.195,0.953,,,,,
0.01,-0.199,0.971,,,,,
0.021,-0.209,0.98,,,,,
0.033,-0.193,0.961,,,,,
0.035,-0.188,0.965,,,,,
0.014,-0.193,0.951,,,,,
0.02,-0.199,0.99,,,,,
0.031,-0.201,0.965,,,,,
0.031,-0.189,0.973,,,,,
0.023,-0.195,0.957,,,,,
0.014,-0.193,0.969,,,,,
0.025,-0.207,0.971,,,,,
0.035,-0.195,0.963,,,,,
0.031,-0.191,0.959,402,31.3,37.7,6857,2
0.016,-0.191,0.951,,,,,
0.018,-0.199,0.984,,,,,
